rep_id,assigned_day,day_visit_order,store_name,category,size_tier,score,visits_per_month,annual_visits,visit_duration_min,coverage_status,exclusion_reason,rating,review_count,phone,opening_hours,address,city,lat,lng,m1_dates,m1_visits,plan_visits
0,,0,New Manila Supermarket,convenience_store,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",25.1229798,56.3421082,,0,0
0,,0,Bashir Supermarket,convenience_store,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",25.1229673,56.3415605,,0,0
0,,0,Small supermarket,supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",22.030126,59.4879952,,0,0
0,,0,Supermaket,supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",22.7210522,58.5595573,,0,0
0,,0,Nizwa MINI MALL,supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",22.9691841,57.5427761,,0,0
0,,0,Supermarkt,supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",22.5410222,58.9886866,,0,0
0,,0,Food stuff & vegetables sale,supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",23.6565569,56.3370907,,0,0
0,,0,"sale foodstuff, vegetable & fruits",supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",23.6562583,56.3371939,,0,0
0,,0,Sales foodstuff & vegetables,supermarket,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",23.7530491,56.2138938,,0,0
0,,0,Wadi Mai grocery,convenience_store,Medium,8,2.0,0,25,gap,Not selected for routing — below priority cut or no rep capacity available,0.0,0,,,,"Dhofar Governorate, Musandam Governorate, Al Buraimi, Al Batinah North Governorate, Al Batinah South Governorate, Ad Dakhiliyah ‍Governorate, Ash Sharqiyah North Governorate, Ash Sharqiyah South Governorate, Ad Dhahirah Governorate",25.1214878,56.3429678,,0,0
