rep_id,assigned_day,day_visit_order,store_name,category,size_tier,score,visits_per_month,annual_visits,visit_duration_min,coverage_status,exclusion_reason,rating,review_count,phone,opening_hours,address,city,lat,lng,m1_dates,m1_visits,plan_visits
0,,0,FANTASY JUNGLE FOOD SDN BHD,whs,Small,7,1.0,0,19,covered,Portfolio store — not assigned to a scraped route,0.0,0,,,"LOT 37627  JALAN 2/37A, POTENTIAL INDUSTRIAL ESTATE, KEPONG",TAMAN BUKIT MALURI  OFF JALAN KEPONG,3.1997738,101.6392094,,0,0
0,,0,M.F.LAI ENTERPRISE,whs,Small,7,1.0,0,19,covered,Portfolio store — not assigned to a scraped route,0.0,0,,,"91 JALAN WAWASAN 2/2, PUSAT BANDAR PUCHONG, PETALING JAYA",PUCHONG,3.032385,101.6223,,0,0
0,,0,CASH RB10,cash,Small,7,1.0,0,6,covered,Portfolio store — not assigned to a scraped route,0.0,0,,,-,,3.2199967,101.6187517,,0,0
0,,0,CASH RB01,cash,Large,8,2.0,0,17,covered,Portfolio store — not assigned to a scraped route,0.0,0,,,"-, -",,,,,0,0
0,,0,LIP TAI SDN BHD,whs,Large,37,3.0,0,33,covered,Portfolio store — not assigned to a scraped route,4.0,124,011-3650 6882,Monday: 10:00 AM – 10:30 PM | Tuesday: 10:00 AM – 10:30 PM | Wednesday: 10:00 AM – 10:30 PM | Thursday: 10:00 AM – 10:30 PM | Friday: 10:00 AM – 10:30 PM | Saturday: 10:00 AM – 10:30 PM | Sunday: 10:00 AM – 10:30 PM,"NO.6 JALAN TPP 1/5, TAMAN INDUSTRI PUCHONG, PETALING JAYA",PUCHONG,3.216855,101.6425417,,0,0
0,,0,MK SNACK FOOD SDN BHD,whs,Small,7,1.0,0,19,covered,Portfolio store — not assigned to a scraped route,0.0,0,03-7846 2105,Monday: 8:30 AM – 8:00 PM | Tuesday: 8:30 AM – 8:00 PM | Wednesday: 8:30 AM – 8:00 PM | Thursday: 8:30 AM – 8:00 PM | Friday: 8:30 AM – 8:00 PM | Saturday: 8:30 AM – 8:00 PM | Sunday: 8:30 AM – 8:00 PM,"no 66 jalan 1/2, OLD TOWN, PETALING JAYA",PETALING JAYA,3.0864473,101.6472929,,0,0
0,,0,KAM FOH ENTERPRISE,cmh,Small,7,1.0,0,19,covered,Portfolio store — not assigned to a scraped route,0.0,0,,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,"55,JLN WELMAN, 48000",RAWANG,3.32132,101.5752183,,0,0
0,,0,EMART24 HOLDING SDN BHD,con,Small,7,1.0,0,14,covered,Portfolio store — not assigned to a scraped route,0.0,0,,,"LOT 793,, PERSIARAN SUBANG INDAH,, OFF PERSIARAN SUBANG,",,3.0431448,101.5946019,,0,0
0,,0,ALPHA TECH BAY SDN BHD,oth,Medium,27,1.0,0,20,covered,Portfolio store — not assigned to a scraped route,4.0,3,018-404 3326,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 7:00 AM – 8:00 PM,"A22& A26, JALAN DELTA U6/19,, TAMAN PERINDUSTRIAN SUMWAY SUBANG,","SEKSYEN U6,40150 SHAH ALAM,",3.1407382,101.5389553,,0,0
0,,0,AJUAA ENTERPRISE,spv,Medium,21,1.0,0,19,covered,Portfolio store — not assigned to a scraped route,3.0,1,016-680 1374,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,"NO 2, JALAN BATU MUDA 2",TAMAN BATU MUDA,3.226754,101.685089,,0,0
0,,0,TONG LEE TRADING SDN. BHD.,whs,Small,7,1.0,0,19,covered,Portfolio store — not assigned to a scraped route,0.0,0,,,"NO.13,, JALAN KAMUNTING 2 B,","KAWASAN PERINDUSTRIAN BUKIT BERUNTUNG,",3.2201266,101.618659,,0,0
